id,name,name_en,grade,category,description,ingredient_1_id,ingredient_2_id,tool
73,기본 토마토 소스,basic_tomato_sauce,D,소스,"토마토 퓨레와 볶은 양파, 마늘을 섞어 끓였다. 새콤달콤한 맛의 결정체.",72,51,냄비
74,크림,cream,F,소스,"우유를 약한 불에 졸여 만든 고소한 크림. 부드러움이 농축되어 있다.",32,,냄비
75,버터,butter,E,소스,"크림을 계속 저어 만든 풍미 가득한 버터. 빵에 발라 먹으면 천국의 맛.",74,,
76,리코타 치즈,ricotta_cheese,E,중간재료,"우유에 레몬즙을 넣어 굳힌 생치즈. 몽글몽글한 식감이 재밌다.",32,37,냄비
77,초콜릿,chocolate,F,중간재료,"카카오를 녹여 달콤쌉쌀한 초콜릿을 만들었다. 기분 전환이 필요할 때 최고.",39,,냄비
78,사과잼,apple_jam,F,소스,"사과와 물을 넣고 달콤하게 졸인 잼. 아삭함이 부드러움으로 변했다.",34,33,냄비
79,딸기잼,strawberry_jam,F,소스,"상큼한 딸기로 만든 홈메이드 잼. 빵에 발라 먹으면 끝없이 들어간다.",36,33,냄비
80,포도 주스,grape_juice,F,음료,"포도를 으깨어 낸 신선한 주스. 탱글탱글한 생명력이 느껴진다.",38,,
81,사과 주스,apple_juice,F,음료,"사과를 갈아 만든 순수한 주스. 아침에 마시면 상쾌함이 두 배.",34,,
82,간장 베이스,soy_sauce_base,E,소스,"삶은 콩과 밀을 발효시켜 만든 기본 간장. 짭짤한 감칠맛의 원천.",49,29,
83,된장 베이스,bean_paste_base,E,소스,"삶은 콩을 발효시켜 만든 구수한 된장. 한국의 맛 그 자체.",49,,
84,고추장 베이스,chili_paste_base,D,소스,"삶은 콩, 고추, 밥을 섞어 발효시킨 매콤한 고추장.",49,15,
85,튀김 반죽,batter,F,중간재료,"밀가루와 계란을 섞어 튀김용 반죽을 만들었다. 바삭함을 위한 준비.",29,31,
86,카레 베이스,curry_base,D,소스,"볶은 양파와 볶은 마늘, 향신료(콩)를 갈아 만든 기본 카레.",51,52,냄비
87,마요네즈,mayonnaise,F,소스,"계란과 레몬을 빠르게 저어 만든 고소한 소스. 마법처럼 기름과 물이 섞였다.",31,37,
88,연유,condensed_milk,F,소스,"우유를 달콤하게 졸여 만든 것. 디저트에 뿌리면 달콤함이 폭발한다.",32,,냄비
89,생크림,whipped_cream,E,소스,"크림을 휘저어 부드러운 거품을 낸 것. 구름처럼 가볍고 부드럽다.",74,,
90,겉절이,fresh_kimchi,F,중간재료,"배추와 고추를 버무려 만든 간단한 김치. 아삭하고 상큼한 맛.",6,15,
