id,name,name_en,grade,category,description,ingredient_1_id,ingredient_2_id,tool
73,기본 토마토 소스,basic_tomato_sauce,D,소스,"토마토 퓨레와 볶은 양파, 마늘을 섞어 끓였다. 새콤달콤한 맛의 결정체.",72,51,냄비
74,크림,cream,F,소스,"우유를 약한 불에 졸여 만든 고소한 크림. 부드러움이 농축되어 있다.",32,,냄비
75,버터,butter,E,소스,"크림을 계속 저어 만든 풍미 가득한 버터. 빵에 발라 먹으면 천국의 맛.",74,,
76,리코타 치즈,ricotta_cheese,E,중간재료,"우유에 레몬즙을 넣어 굳힌 생치즈. 몽글몽글한 식감이 재밌다.",32,37,냄비
77,초콜릿,chocolate,F,중간재료,"카카오를 녹여 달콤쌉쌀한 초콜릿을 만들었다. 기분 전환이 필요할 때 최고.",39,,냄비
78,사과잼,apple_jam,F,소스,"사과와 물을 넣고 달콤하게 졸인 잼. 아삭함이 부드러움으로 변했다.",34,33,냄비
79,딸기잼,strawberry_jam,F,소스,"상큼한 딸기로 만든 홈메이드 잼. 빵에 발라 먹으면 끝없이 들어간다.",36,33,냄비
80,포도 주스,grape_juice,F,음료,"포도를 으깨어 낸 신선한 주스. 탱글탱글한 생명력이 느껴진다.",38,,
81,사과 주스,apple_juice,F,음료,"사과를 갈아 만든 순수한 주스. 아침에 마시면 상쾌함이 두 배.",34,,
82,간장 베이스,soy_sauce_base,E,소스,"삶은 콩과 밀을 발효시켜 만든 기본 간장. 짭짤한 감칠맛의 원천.",49,29,
83,된장 베이스,bean_paste_base,E,소스,"삶은 콩을 발효시켜 만든 구수한 된장. 한국의 맛 그 자체.",49,,
84,고추장 베이스,chili_paste_base,D,소스,"삶은 콩, 고추, 밥을 섞어 발효시킨 매콤한 고추장.",49,15,
85,튀김 반죽,batter,F,중간재료,"밀가루와 계란을 섞어 튀김용 반죽을 만들었다. 바삭함을 위한 준비.",29,31,
86,카레 베이스,curry_base,D,소스,"볶은 양파와 볶은 마늘, 향신료를 갈아 만든 기본 카레.",51,52,냄비
87,마요네즈,mayonnaise,F,소스,"계란과 레몬을 빠르게 저어 만든 고소한 소스. 마법처럼 기름과 물이 섞였다.",31,37,
88,연유,condensed_milk,F,소스,"우유를 달콤하게 졸여 만든 것. 디저트에 뿌리면 달콤함이 폭발한다.",32,,냄비
89,생크림,whipped_cream,E,소스,"크림을 휘저어 부드러운 거품을 낸 것. 구름처럼 가볍고 부드럽다.",74,,
90,겉절이,fresh_kimchi,F,중간재료,"배추와 고추를 버무려 만든 간단한 김치. 아삭하고 상큼한 맛.",6,15,
91,김치찌개,kimchi_stew,E,한식-메인,"겉절이와 돼지고기를 넣고 끓인 얼큰한 찌개. 한국인의 소울 푸드.",90,17,냄비
92,된장찌개,bean_paste_stew,D,한식-메인,"된장 베이스에 두부와 호박을 넣고 끓인 구수한 찌개.",83,11,냄비
93,소고기무국,beef_radish_soup,E,한식-메인,"소고기 육수에 무를 넣고 끓여 시원한 국. 밥 한 그릇 말아 뚝딱.",59,7,냄비
94,미역국,seaweed_soup,E,한식-메인,"소고기 육수에 미역을 넣고 끓인 담백한 국. 생일날엔 꼭 먹어야지.",59,26,냄비
95,콩나물국,bean_sprout_soup,E,한식-메인,"해물 육수에 콩나물을 넣고 끓여 시원한 국. 해장으로 최고.",61,8,냄비
96,닭볶음탕,spicy_braised_chicken,C,한식-메인,"닭고기와 감자, 당근을 고추장에 볶은 요리. 매콤달콤한 맛.",64,84,후라이팬
97,제육볶음,spicy_stir_fried_pork,D,한식-메인,"돼지고기를 고추장 베이스에 맛있게 볶았다. 쌈 채소와 함께.",63,84,후라이팬
98,불고기,bulgogi,D,한식-메인,"소고기를 간장 베이스에 재워 달콤하게 볶았다. 남녀노소 모두 사랑.",62,82,후라이팬
99,잡채,japchae,D,한식-메인,"면, 시금치, 당근을 간장으로 볶아 만든 잔치 음식. 알록달록 예쁘다.",46,82,후라이팬
100,비빔밥,bibimbap,C,한식-메인,"밥 위에 나물과 고추장을 얹어 비빈 요리. 건강한 한 끼.",41,84,
101,김밥,gimbap,D,한식-메인,"밥과 채소를 김으로 말아 만든 간편식. 소풍 도시락의 왕.",41,27,
102,떡볶이,tteokbokki,D,한식-메인,"떡과 고추장을 볶아 만든 매콤달콤한 길거리 음식.",5,84,후라이팬
103,순대,sundae,E,한식-메인,"돼지 창자에 당면과 야채를 넣어 만든 한국식 소시지.",46,9,냄비
104,삼계탕,samgyetang,C,한식-메인,"닭고기 육수에 인삼과 마늘을 넣고 끓인 보양식.",58,14,냄비
105,갈비찜,braised_short_ribs,B,한식-메인,"소고기와 간장 베이스를 넣고 푹 조린 명절 요리.",62,82,냄비
106,불낙전골,bul_nak_jeongol,C,한식-메인,"소고기와 오징어를 고추장에 끓인 매콤한 전골.",62,66,냄비
107,해물파전,seafood_pancake,D,한식-메인,"밀가루 반죽에 해산물과 파를 섞어 부친 전. 비 오는 날엔 막걸리.",42,22,후라이팬
108,김치전,kimchi_pancake,E,한식-메인,"밀가루 반죽에 겉절이를 섞어 부친 고소한 전.",42,90,후라이팬
109,동태찌개,pollack_stew,D,한식-메인,"해물 육수에 동태와 두부를 넣고 끓인 얼큰한 찌개.",61,11,냄비
110,부대찌개,budae_jjigae,C,한식-메인,"해물 육수에 면, 고추장을 넣고 끓인 퓨전 찌개.",61,84,냄비
111,스파게티,spaghetti,D,양식-메인,"면과 토마토 소스를 섞어 만든 이탈리아 대표 요리.",46,73,냄비
112,까르보나라,carbonara,C,양식-메인,"면과 크림, 베이컨을 섞어 만든 고소한 파스타.",46,74,후라이팬
113,피자,pizza,C,양식-메인,"밀가루 반죽에 토마토 소스와 치즈를 올려 구운 요리.",42,73,오븐
114,햄버거,hamburger,D,양식-메인,"빵 사이에 다진 소고기를 넣어 만든 간편식.",47,56,
115,스테이크,steak,C,양식-메인,"구운 소고기에 버터를 곁들인 고급 요리.",62,75,후라이팬
116,그라탕,gratin,C,양식-메인,"삶은 감자와 크림을 겹쳐 오븐에 구운 요리.",43,74,오븐
117,리조또,risotto,D,양식-메인,"밥과 야채 육수를 섞어 만든 이탈리아식 죽.",41,60,냄비
118,오믈렛,omelet,E,양식-메인,"계란 후라이에 야채를 넣어 반으로 접은 요리.",69,54,후라이팬
119,샌드위치,sandwich,E,양식-메인,"빵 사이에 야채와 계란을 넣은 간편식.",47,68,
120,샐러드,salad,F,양식-사이드,"토마토와 양파를 섞어 만든 신선한 샐러드.",1,4,
121,시저샐러드,caesar_salad,E,양식-사이드,"양상추에 마요네즈를 뿌린 클래식 샐러드.",5,87,
122,감자샐러드,potato_salad,E,양식-사이드,"삶은 감자에 마요네즈를 섞은 고소한 샐러드.",43,87,
123,미네스트로네,minestrone,D,양식-메인,"야채 육수에 면과 토마토를 넣고 끓인 이탈리아 수프.",60,72,냄비
124,클램차우더,clam_chowder,C,양식-메인,"해물 육수에 크림과 감자를 넣고 끓인 진한 수프.",61,74,냄비
125,비프스튜,beef_stew,C,양식-메인,"소고기 육수에 구운 소고기와 감자를 넣고 끓인 스튜.",59,62,냄비
126,치킨스튜,chicken_stew,C,양식-메인,"닭고기 육수에 구운 닭고기와 당근을 넣고 끓인 스튜.",58,64,냄비
127,오니언링,onion_rings,E,양식-사이드,"튀김 반죽을 입힌 양파를 기름에 튀긴 스낵.",85,4,후라이팬
128,프렌치프라이,french_fries,F,양식-사이드,"감자를 채썰어 기름에 튀긴 바삭한 사이드.",2,,후라이팬
129,치킨너겟,chicken_nuggets,E,양식-메인,"튀김 반죽을 입힌 닭고기를 튀긴 간식.",85,18,후라이팬
130,피시앤칩스,fish_and_chips,D,양식-메인,"튀김 반죽을 입힌 생선과 감자튀김.",85,20,후라이팬
131,짜장면,jajangmyeon,D,중식-메인,"면에 검은 된장 소스를 얹은 중국식 요리.",46,83,후라이팬
132,짬뽕,jjamppong,D,중식-메인,"면과 해물 육수, 고추를 넣고 끓인 얼큰한 국물 요리.",46,61,냄비
133,탕수육,sweet_and_sour_pork,C,중식-메인,"튀김 반죽을 입힌 돼지고기에 새콤달콤한 소스.",85,17,후라이팬
134,마파두부,mapo_tofu,D,중식-메인,"두부와 다진 돼지고기를 고추장에 볶은 매운 요리.",11,57,후라이팬
135,양장피,yangjangpi,D,중식-메인,"면과 야채, 해산물을 섞어 만든 차가운 요리.",46,67,
136,깐풍기,kanpunggi,C,중식-메인,"튀김 반죽을 입힌 닭고기를 매콤달콤하게 볶은 요리.",85,18,후라이팬
137,팔보채,palbochae,D,중식-메인,"버섯과 야채를 볶아 만든 중국식 볶음 요리.",53,54,후라이팬
138,동파육,dongpo_pork,B,중식-메인,"돼지고기를 간장 베이스에 푹 조린 고급 요리.",63,82,냄비
139,북경오리,peking_duck,A,중식-메인,"오리 고기를 오븐에 구워 바삭하게 만든 명품 요리.",19,,오븐
140,샤오롱바오,xiaolongbao,C,중식-메인,"밀가루 반죽에 다진 돼지고기를 넣고 쪄낸 만두.",42,57,냄비
141,군만두,fried_dumplings,D,중식-메인,"밀가루 반죽에 야채를 넣고 후라이팬에 구운 만두.",42,54,후라이팬
142,딤섬,dim_sum,D,중식-사이드,"밀가루 반죽에 새우를 넣고 쪄낸 점심 요리.",42,67,냄비
143,볶음밥,fried_rice,D,중식-메인,"밥과 계란, 야채를 섞어 볶은 중국식 볶음밥.",41,69,후라이팬
144,난자완스,nanjawans,C,중식-메인,"계란과 새우를 섞어 부드럽게 볶은 요리.",69,67,후라이팬
145,라조기,laziji,C,중식-메인,"튀김 반죽을 입힌 닭고기를 고추와 볶은 매운 요리.",85,15,후라이팬
146,스시,sushi,D,일식-메인,"밥 위에 생선회를 얹은 일본 대표 요리.",41,20,
147,사시미,sashimi,E,일식-메인,"신선한 생선을 얇게 썬 회.",20,,
148,우동,udon,D,일식-메인,"면과 해물 육수를 넣고 끓인 일본식 국수.",46,61,냄비
149,라멘,ramen,D,일식-메인,"면과 닭고기 육수, 계란을 넣은 일본식 라면.",46,58,냄비
150,돈까스,tonkatsu,D,일식-메인,"튀김 반죽을 입힌 돼지고기를 튀긴 일본식 커틀릿.",85,17,후라이팬
151,덴푸라,tempura,D,일식-메인,"튀김 반죽을 입힌 새우를 튀긴 일본식 튀김.",85,22,후라이팬
152,타코야키,takoyaki,E,일식-간식,"밀가루 반죽에 오징어를 넣고 둥글게 구운 간식.",42,23,후라이팬
153,오코노미야키,okonomiyaki,D,일식-메인,"밀가루 반죽에 야채와 고기를 섞어 부친 일본식 전.",42,56,후라이팬
154,규동,gyudon,D,일식-메인,"밥 위에 간장으로 조린 소고기를 얹은 덮밥.",41,62,냄비
155,가츠동,katsudon,D,일식-메인,"밥 위에 돈까스와 계란을 얹은 덮밥.",41,150,
156,오야코동,oyakodon,D,일식-메인,"밥 위에 닭고기와 계란을 얹은 부모자식 덮밥.",41,64,냄비
157,야키소바,yakisoba,D,일식-메인,"면과 야채를 간장으로 볶은 일본식 볶음면.",46,82,후라이팬
158,미소시루,miso_soup,E,일식-사이드,"된장 베이스에 두부를 넣고 끓인 일본식 된장국.",83,11,냄비
159,차완무시,chawanmushi,E,일식-사이드,"계란과 닭고기 육수를 섞어 쪄낸 일본식 계란찜.",31,58,냄비
160,나베,nabe,C,일식-메인,"해물 육수에 야채와 고기를 넣고 끓인 일본식 전골.",61,64,냄비
161,카레라이스,curry_rice,D,퓨전-메인,"밥 위에 카레 베이스와 고기를 얹은 카레.",41,86,냄비
162,하이라이스,hayashi_rice,D,퓨전-메인,"밥 위에 토마토 소스와 소고기를 얹은 일본식 하이라이스.",41,73,냄비
163,오므라이스,omurice,D,퓨전-메인,"볶음밥을 계란 후라이로 감싼 일본식 오믈렛.",143,69,후라이팬
164,나폴리탄,napolitan,D,퓨전-메인,"면과 토마토 퓨레, 야채를 볶은 일본식 파스타.",46,72,후라이팬
165,크림스튜,cream_stew,C,퓨전-메인,"크림과 닭고기, 야채를 넣고 끓인 일본식 스튜.",74,64,냄비
166,부리또,burrito,D,퓨전-메인,"밀가루 반죽에 밥과 고기를 말아 만든 멕시코 요리.",42,41,
167,타코,taco,D,퓨전-메인,"밀가루 반죽에 고기와 야채를 넣은 멕시코 요리.",42,56,
168,케밥,kebab,D,퓨전-메인,"빵에 구운 고기와 야채를 넣은 중동 요리.",47,62,
169,팟타이,pad_thai,D,퓨전-메인,"면과 새우, 땅콩을 볶은 태국 요리.",46,67,후라이팬
170,똠얌꿍,tom_yum_goong,C,퓨전-메인,"해물 육수에 새우와 고추를 넣고 끓인 태국 수프.",61,67,냄비
171,푸팟퐁커리,poo_pad_pong_curry,C,퓨전-메인,"카레 베이스에 해산물을 넣고 볶은 태국 요리.",86,24,후라이팬
172,나시고렝,nasi_goreng,D,퓨전-메인,"밥과 야채를 매콤하게 볶은 인도네시아 볶음밥.",41,15,후라이팬
173,미고렝,mie_goreng,D,퓨전-메인,"면과 야채를 매콤하게 볶은 인도네시아 볶음면.",46,15,후라이팬
174,포,pho,D,퓨전-메인,"면과 소고기 육수를 넣고 끓인 베트남 쌀국수.",46,59,냄비
175,분짜,bun_cha,D,퓨전-메인,"면과 구운 돼지고기를 섞어 먹는 베트남 요리.",46,63,
176,반미,banh_mi,D,퓨전-메인,"빵에 구운 돼지고기와 야채를 넣은 베트남 샌드위치.",47,63,
177,카오팟,khao_pad,D,퓨전-메인,"밥과 해산물을 볶은 태국 볶음밥.",41,67,후라이팬
178,가이양,gai_yang,D,퓨전-메인,"닭고기를 구워 만든 태국식 바비큐.",64,,오븐
179,솜땀,som_tam,E,퓨전-사이드,"고추와 야채를 섞어 만든 태국식 샐러드.",15,9,
180,케이크,cake,D,디저트,"밀가루 반죽과 계란을 오븐에 구운 부드러운 케이크.",42,31,오븐
181,쿠키,cookie,E,디저트,"밀가루 반죽을 오븐에 구운 바삭한 과자.",42,,오븐
182,마카롱,macaron,C,디저트,"아몬드 가루와 계란으로 만든 프랑스 디저트.",50,31,오븐
183,티라미수,tiramisu,B,디저트,"리코타 치즈와 커피를 겹쳐 만든 이탈리아 디저트.",76,39,
184,푸딩,pudding,E,디저트,"계란과 우유를 섞어 찐 부드러운 디저트.",31,32,냄비
185,크렘브륄레,creme_brulee,C,디저트,"크림과 계란을 구워 만든 프랑스 디저트.",74,31,오븐
186,팬케이크,pancake,E,디저트,"밀가루 반죽을 후라이팬에 부쳐 만든 두툼한 빵.",42,,후라이팬
187,와플,waffle,E,디저트,"밀가루 반죽을 틀에 구워 만든 벨기에 디저트.",42,,오븐
188,도넛,donut,E,디저트,"밀가루 반죽을 기름에 튀긴 달콤한 간식.",42,,후라이팬
189,크루아상,croissant,D,디저트,"버터를 넣은 밀가루 반죽을 겹쳐 구운 프랑스 빵.",42,75,오븐
190,머핀,muffin,E,디저트,"밀가루 반죽에 과일을 넣고 구운 컵케이크.",42,34,오븐
191,타르트,tart,D,디저트,"밀가루 반죽에 과일잼을 얹어 구운 프랑스 디저트.",42,79,오븐
192,에클레어,eclair,C,디저트,"밀가루 반죽에 크림을 넣은 프랑스 슈.",42,74,오븐
193,슈크림,cream_puff,D,디저트,"밀가루 반죽에 생크림을 넣은 일본식 슈.",42,89,오븐
194,브라우니,brownie,D,디저트,"초콜릿과 밀가루를 섞어 구운 진한 디저트.",77,42,오븐
195,초코칩쿠키,choco_chip_cookie,E,디저트,"초콜릿을 넣은 밀가루 반죽을 구운 쿠키.",77,42,오븐
196,아이스크림,ice_cream,E,디저트,"크림을 얼려 만든 시원한 디저트.",74,,
197,젤라또,gelato,D,디저트,"우유를 얼려 만든 이탈리아식 아이스크림.",32,,
198,소르베,sorbet,E,디저트,"과일 주스를 얼려 만든 프랑스 디저트.",80,,
199,파르페,parfait,D,디저트,"아이스크림과 과일을 겹쳐 담은 프랑스 디저트.",196,34,
200,선데,sundae,D,디저트,"아이스크림 위에 초콜릿과 생크림을 얹은 디저트.",196,77,
201,밀크셰이크,milkshake,E,음료,"우유와 아이스크림을 섞어 만든 음료.",32,196,
202,스무디,smoothie,E,음료,"과일과 우유를 갈아 만든 건강 음료.",34,32,
203,라떼,latte,E,음료,"우유와 커피를 섞어 만든 부드러운 음료.",32,39,
204,카푸치노,cappuccino,E,음료,"크림과 커피를 섞어 만든 이탈리아 음료.",74,39,
205,핫초코,hot_chocolate,F,음료,"초콜릿과 우유를 뜨겁게 데운 음료.",77,32,냄비
206,밀크티,milk_tea,F,음료,"우유와 차를 섞어 만든 음료.",32,35,냄비
207,버블티,bubble_tea,E,음료,"밀크티에 타피오카를 넣은 대만 음료.",206,5,
208,레모네이드,lemonade,F,음료,"레몬과 물을 섞어 만든 상큼한 음료.",37,33,
209,오렌지주스,orange_juice,F,음료,"오렌지를 갈아 만든 비타민 가득한 주스.",38,,
210,당근주스,carrot_juice,F,음료,"당근을 갈아 만든 건강 주스.",9,,
211,토마토주스,tomato_juice,F,음료,"토마토를 갈아 만든 새콤한 주스.",1,,
212,망고주스,mango_juice,F,음료,"망고를 갈아 만든 달콤한 주스.",38,,
213,딸기우유,strawberry_milk,F,음료,"딸기잼과 우유를 섞은 달콤한 음료.",79,32,
214,초코우유,chocolate_milk,F,음료,"초콜릿과 우유를 섞은 달콤한 음료.",77,32,
215,바나나우유,banana_milk,F,음료,"바나나와 우유를 섞은 한국식 음료.",34,32,
216,요거트,yogurt,E,음료,"우유를 발효시켜 만든 건강 음료.",32,,
217,떡,tteok,F,중간재료,"쌀을 쪄서 만든 한국 전통 떡.",28,33,냄비
218,인절미,injeolmi,E,디저트,"떡에 콩가루를 묻혀 만든 한국 전통 떡.",217,8,
219,송편,songpyeon,E,디저트,"떡 안에 콩을 넣고 찐 한국 전통 떡.",217,49,냄비
220,찹쌀떡,chapssaltteok,E,디저트,"찹쌀로 만든 쫄깃한 떡.",28,33,냄비
221,호떡,hotteok,E,디저트,"밀가루 반죽에 설탕을 넣고 구운 한국 간식.",42,33,후라이팬
222,붕어빵,bungeoppang,E,디저트,"밀가루 반죽에 팥을 넣고 구운 물고기 모양 빵.",42,8,오븐
223,계란빵,gyeran_bbang,E,디저트,"밀가루 반죽에 계란을 넣고 구운 한국 간식.",42,31,오븐
224,약과,yakgwa,D,디저트,"밀가루 반죽을 기름에 튀기고 꿀에 담근 한국 전통 과자.",42,33,후라이팬
225,한과,hangwa,D,디저트,"쌀가루와 꿀로 만든 한국 전통 과자.",28,33,
226,엿,yeot,E,디저트,"쌀을 고아 만든 한국 전통 엿.",28,33,냄비
227,식혜,sikhye,F,음료,"쌀과 물을 발효시켜 만든 한국 전통 음료.",28,33,냄비
228,수정과,sujeonggwa,F,음료,"물에 계피를 우려 만든 한국 전통 음료.",33,,냄비
229,매실차,plum_tea,F,음료,"매실과 물을 섞어 만든 한국 전통 차.",38,33,냄비
230,유자차,yuja_tea,F,음료,"유자와 꿀을 섞어 만든 한국 전통 차.",37,33,냄비
231,녹차,green_tea,F,음료,"차잎을 우려 만든 건강 음료.",35,33,냄비
232,홍차,black_tea,F,음료,"발효 차잎을 우려 만든 진한 차.",35,33,냄비
233,우롱차,oolong_tea,F,음료,"반발효 차잎을 우려 만든 중국 차.",35,33,냄비
234,보리차,barley_tea,F,음료,"보리를 볶아 우려낸 한국식 차.",28,33,냄비
235,옥수수차,corn_tea,F,음료,"옥수수를 볶아 우려낸 고소한 차.",29,33,냄비
236,감자전,potato_pancake,E,한식-사이드,"감자를 갈아 부쳐낸 한국식 전.",43,,후라이팬
237,부추전,chive_pancake,E,한식-사이드,"밀가루 반죽에 부추를 섞어 부친 전.",42,13,후라이팬
238,호박전,zucchini_pancake,E,한식-사이드,"밀가루 반죽에 호박을 섞어 부친 전.",42,10,후라이팬
239,고구마맛탕,sweet_potato_candy,E,디저트,"찐 고구마를 기름에 튀기고 설탕 시럽을 입힌 간식.",45,33,후라이팬
240,감자튀김,potato_chips,F,간식,"감자를 얇게 썰어 튀긴 바삭한 스낵.",2,,후라이팬
241,고구마칩,sweet_potato_chips,F,간식,"고구마를 얇게 썰어 튀긴 건강 스낵.",30,,후라이팬
242,새우칩,shrimp_chips,F,간식,"밀가루에 새우를 섞어 튀긴 스낵.",42,22,후라이팬
243,치즈볼,cheese_ball,E,간식,"튀김 반죽에 치즈를 넣고 튀긴 간식.",85,76,후라이팬
244,핫도그,hot_dog,E,간식,"튀김 반죽에 소시지를 넣고 튀긴 길거리 음식.",85,17,후라이팬
245,치즈스틱,cheese_stick,E,간식,"튀김 반죽에 치즈를 넣고 튀긴 막대 간식.",85,76,후라이팬
246,어묵,eomuk,E,한식-사이드,"생선을 갈아 만든 한국식 연육.",20,,
247,어묵탕,eomuk_tang,E,한식-메인,"어묵과 해물 육수를 넣고 끓인 국물 요리.",246,61,냄비
248,오뎅,oden,E,일식-사이드,"어묵을 육수에 넣고 끓인 일본식 요리.",246,58,냄비
249,라면,ramyeon,E,한식-메인,"면과 해물 육수를 넣고 끓인 한국식 라면.",46,61,냄비
250,짜파게티,chapagetti,D,퓨전-메인,"짜장면과 스파게티를 섞은 한국식 볶음면.",131,111,후라이팬
251,로제파스타,rose_pasta,C,퓨전-메인,"토마토 소스와 크림을 섞은 분홍빛 파스타.",73,74,냄비
252,알리오올리오,aglio_olio,D,양식-메인,"면과 마늘을 올리브유에 볶은 이탈리아 파스타.",46,52,후라이팬
253,페스토파스타,pesto_pasta,D,양식-메인,"면과 바질 페스토를 섞은 이탈리아 파스타.",46,12,후라이팬
254,라자냐,lasagna,C,양식-메인,"면과 토마토 소스, 치즈를 겹쳐 구운 이탈리아 요리.",46,73,오븐
255,뇨끼,gnocchi,D,양식-메인,"감자 반죽을 삶아 토마토 소스를 입힌 이탈리아 파스타.",43,73,냄비
256,라비올리,ravioli,D,양식-메인,"밀가루 반죽에 고기를 넣고 삶은 이탈리아 만두.",42,56,냄비
257,캐놀리,cannoli,C,디저트,"밀가루 반죽에 리코타 치즈를 넣은 이탈리아 디저트.",42,76,오븐
258,바클라바,baklava,C,디저트,"밀가루 반죽에 견과류를 겹쳐 구운 중동 디저트.",42,40,오븐
259,나초,nachos,E,간식,"옥수수칩에 치즈를 녹인 멕시코 스낵.",29,76,오븐
260,퀘사디아,quesadilla,D,퓨전-메인,"밀가루 반죽에 치즈를 넣고 구운 멕시코 요리.",42,76,후라이팬
261,엔칠라다,enchilada,D,퓨전-메인,"밀가루 반죽에 고기를 말아 토마토 소스를 입힌 멕시코 요리.",42,56,오븐
262,파히타,fajita,D,퓨전-메인,"밀가루 반죽에 구운 고기와 야채를 넣은 멕시코 요리.",42,62,후라이팬
263,과카몰리,guacamole,E,퓨전-사이드,"토마토와 야채를 갈아 만든 멕시코 소스.",1,4,
264,살사,salsa,E,퓨전-사이드,"토마토와 고추를 섞어 만든 멕시코 소스.",1,15,
265,츄러스,churros,E,디저트,"밀가루 반죽을 기름에 튀기고 설탕을 뿌린 스페인 간식.",42,33,후라이팬
266,파에야,paella,C,양식-메인,"밥과 해산물을 후라이팬에 볶은 스페인 요리.",41,67,후라이팬
267,가스파초,gazpacho,E,양식-사이드,"토마토를 갈아 만든 스페인 차가운 수프.",71,4,
268,타파스,tapas,D,양식-사이드,"빵 위에 야채와 고기를 얹은 스페인 간식.",47,62,
